Season,Episode,WrittenBy,Scene,Character,Dialogue,IsChorusLine,IsMainCharacter,Location_raw,Location,WordCount,EpisodeLabel
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",chandler,What are you guys doing?,False,True,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,Nothing.,False,True,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,Nothin'.,False,True,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,So that you will intentionally do something thatthey'll-they'll intentionally screw it up?,False,False,Central Perk,Central Perk,12,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,Yeah!,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,Yeah!,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,(noticing the laughter) Why? What's the matter?,False,False,Central Perk,Central Perk,7,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"(to Courtney) You-you've worn a fat suit on the show. And, a lot of people love you in the fat suit. Do you like wearing the fat suit? Is it fun?",False,False,Central Perk,Central Perk,31,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,I'm melting!,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,"They made me dance, in the fat suit.",False,False,Central Perk,Central Perk,8,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"I-I heard some of you guys talking about this earlier, but sometimes there's just a word that someone has to say that you'll get hung up on. And it'll justthe way you say the word is funny to everybody else.",False,False,Central Perk,Central Perk,40,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,That tastes like feet!,False,True,Central Perk,Central Perk,4,Unknown
